Country Name,Country Code,Year,GDP growth (annual %),GDP per capita (current US$),"Inflation, consumer prices (annual %)","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",Population growth (annual %),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Urban population (% of total population)
Kenya,KEN,2021,7.59048947333467,2061.35622089594,6.10793603659176,67.462,1.90040858948898,5.693,31.2879334021971
Kenya,KEN,2022,4.85998104287999,2109.56288513137,7.65986268272224,67.503,1.92297608206469,5.565,31.4307820066946
Kenya,KEN,2023,5.71999241214208,1942.58802756191,7.67139634029402,67.463,1.98296028478422,5.409,31.6330340816429
Rwanda,RWA,2000,8.37089593573039,251.86926386091,3.89952980284712,62.121,0.806991709703052,11.699,15.7804474645996
Rwanda,RWA,2001,8.48456034086699,237.308846200901,3.34285506749409,61.783,0.886774966312804,11.732,16.5487399668155
Rwanda,RWA,2002,13.1920736288433,234.043016755733,1.99258542453993,61.528,1.35537693210796,11.432,16.8778847116752
Rwanda,RWA,2003,2.2023875095978,249.012274982252,7.44970014007366,61.363,2.19817405049677,11.658,16.8947432312369
Rwanda,RWA,2004,7.44766737037035,269.540446333402,12.2507102894391,61.254,2.6429108159401,11.699,16.9020099536792
Rwanda,RWA,2005,9.37789916585375,324.016863847189,9.01408918092339,61.183,2.66009812240039,11.842,16.9072114459454
Rwanda,RWA,2006,9.22707576994632,352.093916578347,8.88282654777923,61.143,2.66683575241351,11.586,16.9110139245047
Rwanda,RWA,2007,7.63329819042882,420.733580702508,9.08072205873158,61.12,2.66008171576066,11.58,16.9140836058266
Rwanda,RWA,2008,11.161247324054,522.288339420679,15.4382138709255,61.096,2.62837643087324,11.517,16.9170867063804
Rwanda,RWA,2009,6.24825750704265,556.97399621739,12.9443978401712,61.056,2.57922030255665,11.625,16.9206894426355
Rwanda,RWA,2010,7.33465645016436,586.599950359877,-0.246128693436934,60.997,2.52365134392041,11.637,16.9255580310614
Rwanda,RWA,2011,7.95838869909085,643.356138618166,3.0801706924026,60.927,2.45262873450153,11.756,16.9323586881273
Rwanda,RWA,2012,8.64150815708138,697.760143509565,10.2710182318876,60.854,2.39380128171382,11.671,16.9410248882148
Rwanda,RWA,2013,4.71984856950924,695.397140963607,5.92426867984854,60.784,2.40340085493768,11.768,17.0742206053612
Rwanda,RWA,2014,5.66845354233575,715.36808783393,2.35449052820358,60.714,2.41721473954366,11.837,17.5020716539756
Rwanda,RWA,2015,8.87036752872743,725.691418696952,2.52850284192421,60.64,2.39322566941773,11.831,18.1953149858416
Rwanda,RWA,2016,5.65874584202778,721.258515833094,7.17434301982009,60.556,2.36997866838859,11.788,19.1213951786548
Rwanda,RWA,2017,4.70393439751061,751.049039527547,8.27953672260832,60.461,2.34556709244995,11.875,20.2477568101111
Rwanda,RWA,2018,8.07084254621641,772.754982959354,-0.311210160390699,60.378,2.31630729613291,10.759,21.5418444579064
Rwanda,RWA,2019,9.28613387454543,823.355304065304,3.34787655037648,58.451,2.28086099658628,11.236,22.9711026997362
Rwanda,RWA,2020,-2.77710485515125,802.638686936204,9.85039902274207,62.66,2.24244883430144,11.829,24.5029761132966
Rwanda,RWA,2021,8.41140448646523,842.581492947672,-0.391346748300791,58.197,2.1909353521865,15.775,26.1049092762833
Rwanda,RWA,2022,9.82497394651698,1007.05989322914,17.6892095588153,60.164,2.19046619232976,15.084,27.7806702737761
Rwanda,RWA,2023,8.55964292914153,1061.05788154076,19.789546746467,63.664,2.1984982050137,12.352,28.8555310645477
"Somalia, Fed. Rep.",SOM,2000,7.11031431133236,386.119274401275,6.880368227817259,34.087,4.00097862828906,18.678,33.0596136927225
"Somalia, Fed. Rep.",SOM,2001,7.1103143114324,244.914842538455,2.988164437335625,34.114,3.98983884745091,18.665,33.5128183866634
"Somalia, Fed. Rep.",SOM,2002,7.63026729331047,229.598918310039,1.742190126155672,34.143,3.75080850397474,18.658,33.9872055053711
"Somalia, Fed. Rep.",SOM,2003,7.63026729332455,286.273025198975,7.819898028863823,34.176,3.69115278037828,18.648,34.4719665654476
"Somalia, Fed. Rep.",SOM,2004,7.11031431125608,375.410326225387,6.495521278632194,34.224,3.68380578936556,18.653,34.9620706047618
"Somalia, Fed. Rep.",SOM,2005,7.1103143113146,439.979907805478,8.017930653104177,34.303,3.47204363776718,18.671,35.4674928136211
"Somalia, Fed. Rep.",SOM,2006,6.48637073273908,457.996662206659,7.679098304767272,34.407,3.06479248294565,18.705,35.9982083823331
"Somalia, Fed. Rep.",SOM,2007,6.69435192552552,479.635628065289,8.453542668036725,34.485,3.11334404047468,18.687,36.5641925012053
